,countries,variable_type,Region,seried_id,date,records
Date.300,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2016,88810
Date.301,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2016,79010
Date.302,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2016,105380
Date.303,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2016,114010
Date.304,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2016,104050
Date.305,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2016,108420
Date.306,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2016,130340
Date.307,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2016,112100
Date.308,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2016,133570
Date.309,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2016,130450
Date.310,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2016,109550
Date.311,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2016,129500
Date.312,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2017,87710
Date.313,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2017,82640
Date.314,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2017,109030
Date.315,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2017,115150
Date.316,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2017,104900
Date.317,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2017,108000
Date.318,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2017,131550
Date.319,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2017,115740
Date.320,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2017,124030
Date.321,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2017,139860
Date.322,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2017,114530
Date.323,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2017,126370
Date.324,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2018,88390
Date.325,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2018,83770
Date.326,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2018,116020
Date.327,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2018,111240
Date.328,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2018,107540
Date.329,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2018,112330
Date.330,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2018,132760
Date.331,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2018,124630
Date.332,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2018,127020
Date.333,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2018,137100
Date.334,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2018,117320
Date.335,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2018,126880
Date.336,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2019,92670
Date.337,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2019,92290
Date.338,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2019,109920
Date.339,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2019,119220
Date.340,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2019,117520
Date.341,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2019,109910
Date.342,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2019,133630
Date.343,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2019,124710
Date.344,New Zealand,Country,Australia and Oceania,A85375607R,9/1/2019,126990
Date.345,New Zealand,Country,Australia and Oceania,A85375607R,10/1/2019,142970
Date.346,New Zealand,Country,Australia and Oceania,A85375607R,11/1/2019,120410
Date.347,New Zealand,Country,Australia and Oceania,A85375607R,12/1/2019,143530
Date.348,New Zealand,Country,Australia and Oceania,A85375607R,1/1/2020,97060
Date.349,New Zealand,Country,Australia and Oceania,A85375607R,2/1/2020,87920
Date.350,New Zealand,Country,Australia and Oceania,A85375607R,3/1/2020,48180
Date.351,New Zealand,Country,Australia and Oceania,A85375607R,4/1/2020,370
Date.352,New Zealand,Country,Australia and Oceania,A85375607R,5/1/2020,1190
Date.353,New Zealand,Country,Australia and Oceania,A85375607R,6/1/2020,1440
Date.354,New Zealand,Country,Australia and Oceania,A85375607R,7/1/2020,500
Date.355,New Zealand,Country,Australia and Oceania,A85375607R,8/1/2020,370
